Account,date,sentiment_bucket,classification,daily_pnl,n_trades,n_wins,avg_trade_size_usd,total_volume_usd,n_long,win_rate,n_short,long_short_ratio,is_profitable_day
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-11,Greed,Extreme Greed,0.0,177,0,5089.718248587571,900880.13,0,0.0,177,0.0,False
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-17,Greed,Extreme Greed,0.0,68,0,7976.664411764705,542413.1799999999,0,0.0,68,0.0,False
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-18,Greed,Extreme Greed,0.0,40,0,23734.5,949380.0,0,0.0,40,0.0,False
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-22,Greed,Extreme Greed,-21227.0,12,0,28186.666666666668,338240.0,0,0.0,12,0.0,False
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-26,Greed,Extreme Greed,1603.1,27,12,17248.14814814815,465700.0,0,0.4444444444444444,27,0.0,True
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-28,Greed,Extreme Greed,-132271.0,82,0,16058.536341463414,1316799.98,0,0.0,82,0.0,False
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-30,Greed,Extreme Greed,0.0,23,0,48561.68565217392,1116918.77,0,0.0,23,0.0,False
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-12-06,Greed,Greed,-175611.00005600002,33,0,36736.36242424243,1212299.96,0,0.0,33,0.0,False
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-01-19,Greed,Extreme Greed,71393.964098,465,23,11410.954021505377,5306093.62,0,0.04946236559139785,465,0.0,True
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-01-20,Greed,Extreme Greed,40218.599998,51,28,9400.588039215687,479429.99,0,0.5490196078431373,51,0.0,True
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-02,Greed,Greed,76710.0,10,9,185847.0,1858470.0,0,0.9,10,0.0,True
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-03,Fear,Fear,101011.685664,839,256,23593.019856972587,19794543.66,571,0.30512514898688914,268,2.1305970149253732,True
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-04,Greed,Greed,375620.270243,531,83,10576.687156308852,5616220.88,0,0.15630885122410546,531,0.0,True
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-05,Neutral,Neutral,44400.9058,210,78,26585.06338095238,5582863.31,0,0.37142857142857144,210,0.0,True
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-09,Neutral,Neutral,30897.0887,141,132,10161.056241134751,1432708.93,0,0.9361702127659575,141,0.0,True
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-10,Fear,Fear,55086.0,48,16,32032.5,1537560.0,0,0.3333333333333333,48,0.0,True
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-11,Neutral,Neutral,0.0,6,0,134600.00166666668,807600.01,0,0.0,6,0.0,False
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-24,Neutral,Neutral,10152.12224,59,31,27178.041694915253,1603504.46,0,0.5254237288135594,59,0.0,True
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-25,Fear,Fear,115445.395538,219,93,13233.776894977169,2898197.14,0,0.4246575342465753,219,0.0,True
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-28,Fear,Extreme Fear,115287.0,55,1,24958.908545454546,1372739.97,0,0.01818181818181818,55,0.0,True
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-03-01,Fear,Extreme Fear,9482.221441,45,36,2985.797555555556,134360.89,0,0.8,45,0.0,True
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-03-03,Fear,Fear,533974.662903,641,540,8371.136099843994,5365898.24,0,0.8424336973478939,641,0.0,True
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-03-24,Neutral,Neutral,40200.0,5,4,79640.0,398200.0,0,0.8,5,0.0,True
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-04-12,Fear,Fear,307855.80341,31,31,21491.640322580646,666240.85,0,1.0,31,0.0,True
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-11-30,Greed,Extreme Greed,11715.94323,55,46,2469.9509090909087,135847.3,8,0.8363636363636363,47,0.1702127659574468,True
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-01,Greed,Extreme Greed,0.0,1,0,0.06,0.06,0,0.0,1,0.0,False
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-06,Greed,Greed,0.0,34,0,1426.8700000000001,48513.58,34,0.0,0,,False
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-07,Greed,Extreme Greed,3515.031065,26,25,2001.101153846154,52028.630000000005,0,0.9615384615384616,26,0.0,True
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-09,Greed,Extreme Greed,0.0,46,0,1131.888695652174,52066.88,46,0.0,0,,False
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-10,Greed,Extreme Greed,2517.787385,64,63,852.88625,54584.72,0,0.984375,64,0.0,True
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-18,Greed,Extreme Greed,1613.165903,59,15,1913.523898305085,112897.91,44,0.2542372881355932,15,2.933333333333333,True
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-19,Greed,Extreme Greed,0.0,1,0,0.11,0.11,0,0.0,1,0.0,False
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-20,Greed,Greed,1245.51851,34,21,10051.199411764705,341740.77999999997,34,0.6176470588235294,0,,True
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-13,Greed,Greed,0.0,13,0,2845.9646153846156,36997.54,13,0.0,0,,False
